date,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
2014-04-01T00:00:00,1147.73,895.40,931.12,857.99,831.93,989.21,817.48,932.63,779.90,842.97,975.60
2014-05-01T00:00:00,1134.33,896.84,932.72,852.31,834.73,990.50,827.56,935.16,773.62,856.27,958.68
2014-06-01T00:00:00,1151.22,888.03,938.57,867.75,834.85,996.14,830.24,943.52,783.76,857.08,980.26
2014-07-01T00:00:00,1138.21,879.23,939.30,860.36,842.70,995.46,830.68,942.26,757.95,874.71,978.14
2014-08-01T00:00:00,1155.68,897.90,935.22,875.09,826.67,985.76,822.27,936.16,759.39,843.54,984.13
2014-09-01T00:00:00,1159.89,896.29,934.74,869.33,836.43,997.27,811.21,935.30,757.86,842.92,979.19
2014-10-01T00:00:00,1163.69,901.86,940.68,872.41,838.49,1001.57,820.12,936.71,774.24,858.82,984.95
2014-11-01T00:00:00,1160.77,902.69,937.83,862.07,838.71,1007.37,816.48,938.67,782.53,844.51,992.31
2014-12-01T00:00:00,1159.60,904.11,948.40,886.94,856.35,1006.98,836.76,950.38,803.66,862.12,991.30
2015-01-01T00:00:00,1158.79,911.57,944.98,875.17,842.03,1007.20,830.52,951.10,794.39,846.73,982.60
2015-02-01T00:00:00,1176.32,919.20,957.80,873.35,854.39,1015.85,829.09,969.17,792.26,857.53,991.21
2015-03-01T00:00:00,1173.23,911.73,956.50,865.29,848.22,1022.75,823.01,968.75,800.10,861.10,988.79
2015-04-01T00:00:00,1150.61,899.15,954.70,864.69,864.81,1019.61,835.31,964.80,809.92,881.27,977.35
